"Time [ms]","InducedVoltage(WindingStatorAX)-InducedVoltage(WindingStatorBY) [V]","InducedVoltage(WindingStatorBY)-InducedVoltage(WindingStatorCZ) [V]","InducedVoltage(WindingStatorCZ)-InducedVoltage(WindingStatorAX) [V]"
0,-4459.60847848726,9458.45309043545,-4998.84461194819
0.2,-4021.13849942379,9144.50486819082,-5123.36636876703
0.4,-3582.66852036033,8830.5566459462,-5247.88812558588
0.6,-3787.69785422359,9064.114785352,-5276.41693112841
0.8,-2757.81942139417,9027.00079190644,-6269.18137051227
1,-1785.0529198611,8541.94279370606,-6756.88987384496
1.2,-1966.29204187562,8506.49310740427,-6540.20106552865
1.4,-1228.93862268414,8344.25902479709,-7115.32040211295
1.6,-55.5874129661597,7728.15980045995,-7672.57238749379
1.8,-66.93915375509,7691.05208379997,-7624.11293004488
2,347.83442671951,7654.15938987873,-8001.99381659824
2.2,1655.10372504433,6848.31998395495,-8503.42370899928
2.4,1922.72229752055,6487.10763089714,-8409.82992841769
2.6,1935.34051177081,6715.51330965628,-8650.85382142709
2.8,3135.77686894993,5965.3146013498,-9101.09147029973
3,3863.75733574691,5143.14461748013,-9006.90195322704
3.2,3615.78344962691,5331.55696276057,-8947.34041238748
3.4,4393.86096231094,4786.61895294901,-9180.47991525995
3.6,5294.31909713394,3713.96399195306,-9008.283089087
3.8,5188.26998554503,3748.02145485191,-8936.29144039694
4,5605.03828076421,3550.60108375465,-9155.63936451886
4.2,6570.67803101052,2259.16754313494,-8829.84557414546
4.4,6587.22070168242,1816.57769642518,-8403.7983981076
4.6,6630.37277144433,1921.27940909373,-8551.65218053806
4.8,7414.96063581283,806.21201807762,-8221.17265389045
5,7753.4881137784,-113.83156015356,-7639.65655362484
5.2,7636.59245850256,68.1553436301501,-7704.74780213271
5.4,8147.75632134993,-758.39553691315,-7389.36078443678
5.6,8489.50046809697,-1865.33325888978,-6624.16720920719
5.8,8493.82382099436,-1850.98404728713,-6642.83977370723
6,8870.40524305888,-2281.3186935323,-6589.08654952658
6.2,9106.55060096602,-3564.0318346769,-5542.51876628912
6.4,8850.11363828883,-3717.23496004838,-5132.87867824045
